figure,panel,task,scenario,stage,tier,metric,estimate,ci_lower,ci_upper,category,status,note
2,D,,implementation_failure,,I2,oracle_piv_nats,0.0222777634261652,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I2,implemented_ifv_nats,-0.0110428118949488,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I2,fusion_implementation_gap_nats,0.033320575321114,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I3,oracle_piv_nats,0.00421829626486051,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I3,implemented_ifv_nats,-0.00319076044718534,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I3,fusion_implementation_gap_nats,0.00740905671204585,,,,,Prespecified known-truth simulation aggregate
2,G,,,,,gate_pass_count,9,,,,PASS,All nine prespecified recovery gates passed
3,A,perioperative_ecg,,train,I0,implemented_ifv_normalized,0.0485053534435,0.0341699101961,0.0623390863984,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,train,I1,implemented_ifv_normalized,0.0236404166426,0.00914599227544,0.0383410159818,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,train,I2,implemented_ifv_normalized,-0.00501130072806,-0.0136495546879,0.00368561473326,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,train,I3,implemented_ifv_normalized,-0.00417136238988,-0.0103693809871,0.00213007352873,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,cal,I0,implemented_ifv_normalized,0.0432224028791,0.0174375564387,0.06990954627,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,cal,I1,implemented_ifv_normalized,0.0241092983479,-0.00217232142748,0.0511796770291,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,cal,I2,implemented_ifv_normalized,0.00616374466558,-0.00862311492359,0.0206096543864,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,cal,I3,implemented_ifv_normalized,0.00634540761702,-0.00533580645087,0.0180257757279,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,lte,I0,implemented_ifv_normalized,0.0438617497191,0.0182614363692,0.0696225540274,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,lte,I1,implemented_ifv_normalized,0.0238150744456,-0.00436257912126,0.0516828200867,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,lte,I2,implemented_ifv_normalized,0.00832750098875,-0.0075486400367,0.0231764280852,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,lte,I3,implemented_ifv_normalized,0.00595303083113,-0.00565149258944,0.0181405360783,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,train,I0,implemented_ifv_normalized,0.0471048619158,0.0236812652315,0.0706894112727,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,train,I1,implemented_ifv_normalized,0.0512256610448,0.0282078823096,0.0747356427911,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,train,I2,implemented_ifv_normalized,-0.00695389535227,-0.0145242637411,0.000399705035406,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,train,I3,implemented_ifv_normalized,-0.00233845238772,-0.00802942859171,0.00298128598634,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,cal,I0,implemented_ifv_normalized,0.0743120585074,0.0392290499208,0.106897667277,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,cal,I1,implemented_ifv_normalized,0.0637870852478,0.0226630634126,0.102828616894,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,cal,I2,implemented_ifv_normalized,0.000873987258248,-0.0121424976242,0.0142842965185,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,cal,I3,implemented_ifv_normalized,0.00311170649727,-0.00573913669035,0.0122030205835,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,lte,I0,implemented_ifv_normalized,0.0567739892949,0.021767417507,0.0903325227856,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,lte,I1,implemented_ifv_normalized,0.0569072081906,0.0183218214615,0.0962821681012,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,lte,I2,implemented_ifv_normalized,-0.0030997709063,-0.0141824926827,0.00824666067009,,,Pointwise confidence interval; not family-wise simultaneous inference
3,B,cardiac_surgery,,lte,I3,implemented_ifv_normalized,-0.00172347086245,-0.00936872096727,0.00587650488686,,,Pointwise confidence interval; not family-wise simultaneous inference
4,A,perioperative_ecg,,train,I0,implemented_ifv_nats,0.0328733703875,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I0,model_class_attainable_value_nats,0.03944362448,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I0,model_class_gap_nats,0.006570254092,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I1,implemented_ifv_nats,0.0160217402253,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I1,model_class_attainable_value_nats,0.025055483514,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I1,model_class_gap_nats,0.009033743289,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I2,implemented_ifv_nats,-0.00339629202266,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I2,model_class_attainable_value_nats,-0.017474903713,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I2,model_class_gap_nats,-0.014078611691,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I3,implemented_ifv_nats,-0.00282704343187,,,,,Signed train-OOF descriptive contrast
